codigo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim
1041090;Outros ovinos,vivos;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1042010;Caprinos reprodutores,de raca pura;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1042090;Outros caprinos,vivos;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1051110;Galos e galinhas,p<=185g,de linha pura/hibrida, p/reprod;4.20;6.20;0.00;0.00;01/02/2021;30/04/2021
1051190;Outros galos e galinhas,vivos,de peso n/superior a 185g;4.20;8.16;0.00;0.00;01/02/2021;30/04/2021
1051200;Peruas e perus,vivos,de peso nao superior a 185g;4.20;8.16;0.00;0.00;01/02/2021;30/04/2021
1051300;Patos vivos,de peso<=185g;4.20;8.16;0.00;0.00;01/02/2021;30/04/2021
1051400;Gansos, vivos,de peso<=185g;4.20;8.16;0.00;0.00;01/02/2021;30/04/2021
1051500;Galinhas dangola (pintadas),vivos,de peso<=185g;4.20;8.16;0.00;0.00;01/02/2021;30/04/2021
1059400;Outros galos e galinhas,vivos de peso>185g;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1059900;Patos,gansos,perus,peruas,pintadas,vivos,de peso>185g;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1061100;Primatas;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1061200;Baleias, golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1061300;Camelos e outros camelídeos;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1061400;Coelhos e lebres;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1061900;Outros animais mamíferos;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1062000;Répteis incluídas as serpentes e as tartarugas marinhas;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1063100;Aves de rapina;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1063200;Psitaciformes (incluídos os papagaios, os periquitos, as araras e as cacatuas);4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1063310;Avestruzes para reprodução;4.20;6.20;0.00;0.00;01/02/2021;30/04/2021
1063390;Outros avestruzes, emus;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1063900;Outras aves;4.20;10.05;0.00;0.00;01/02/2021;30/04/2021
1064100;Abelhas;4.20;10.05;12.00;0.00;01/02/2021;30/04/2021
1064900;Outro insetos;4.20;10.05;12.00;0.00;01/02/2021;30/04/2021
1069000;Outros animais vivos;4.20;10.05;12.00;0.00;01/02/2021;30/04/2021
2011000;Carcacas e meias carcacas,de bovino,frescas ou refriger;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2012010;Quartos dianteiros,de bovino,n/desossad. frescos/refrig.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2012020;Quartos traseiros,de bovino,n/desossados, frescos/refrig;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2012090;Outs.carnes de bovino,nao desossadas, frescas ou refrig.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2013000;Carnes de bovino,desossadas,frescas ou refrigeradas;4.20;16.91;12.00;0.00;01/02/2021;30/04/2021
2021000;Carcacas e meias-carcacas,de bovino, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2022010;Quartos dianteiros,de bovino,nao desossados, congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2022020;Quartos traseiros,de bovino,nao desossados, congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2022090;Outras carnes de bovino,nao desossadas, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2023000;Carnes de bovino,desossadas,congeladas;4.20;16.91;12.00;0.00;01/02/2021;30/04/2021
2031100;Carcacas e meias-carcacas,de suino,frescas ou refriger.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2031200;Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2031900;Outras carnes,de suino,frescas ou refrigeradas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2032100;Carcacas e meias-carcacas,de suino, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2032200;Pernas,pas e pedacos,de suinos,n/desossados, congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2032900;Outras carnes,de suino,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2041000;Carcacas e meias-carcacas,de cordeiro, frescas ou refrig;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2042100;Carcacas e meias-carcacas,de ovino,frescas ou refriger.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2042200;Outras carnes,de ovino,nao desossadas, ]frescas ou refrig;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2042300;Carnes de ovino,desossadas,frescas ou refrigeradas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2043000;Carcacas e meias-carcacas,de cordeiro, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2044100;Carcacas e meias-carcacas,de ovino, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2044200;Outras carnes de ovino,nao desossadas, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2044300;Carnes de ovino,desossadas,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2045000;Carnes de caprino,frescas,refrigeradas ou congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2050000;Carnes de cavalo,asinino e muar,frescas, refrig.ou cong.;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2061000;Miudezas comestiveis,de bovino,frescas ou refrigeradas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2062100;Linguas de bovino,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2062200;Figados de bovino,congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2062910;Rabos de bovino,congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2062990;Outras miudezas comestiveis,de bovino, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2063000;Miudezas comestiveis,de suino,frescas ou refrigeradas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2064100;Figados de suino,congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2064900;Outras miudezas,comestiveis,de suino, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2068000;Miudezas comestiveis,de ovino,etc. frescas/refrigeradas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2069000;Miudezas comestiveis,de ovino,caprino, etc.congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2071100;Carnes de galos/galinhas,n/cort.pedacos, frescas/refrig.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2071200;Carnes de galos/galinhas,n/cortadas em pedacos,congel.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2071300;Pedacos e miudezas,de galos/galinhas, frescos/refriger.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2071400;Pedacos e miudezas,comest.de galos/galinhas, congelados;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2072400;Carnes de peruas/perus,n/cort.pedacos, frescas/refriger.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2072500;Carnes de peruas/perus,n/cortadas em pedacos,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2072600;Carnes de peruas/perus,em pedacos,miudez. frescos/refrig;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2072700;Carnes de peruas/perus,em pedacos e miudezas,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2074100;Carnes de patos, n/cort.em pedacos, frescas/refriger.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2074200;Carnes de patos,gansos,etc.n/cort.em pedacos,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2074300;Figados gordos,de patos (foie gras), frescos/refrig.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2074400;Outs.carnes/miudezas,de patos,frescas, refrig;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2074500;Outs.carnes,miudezas,de patos, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2075100;Carnes de gansos n/cort.em pedacos, frescas/refriger.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2075200;Carnes de  gansos n/cort.em pedacos,congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2075300;Figados gordos,de gansos (foie gras), frescos/ refrig.;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2075400;Outs.carnes/miudezas,de gansos, frescas, refrig;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2075500;Outs.carnes,miudezas,de gansos, congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2076000;Carnes e miudezas comestíveis de galinhas dangola (pintadas), frescas/refriger/ congeladas;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2081000;Carnes/miudezas,de coelhos/lebres,frescas/ refrig/congel;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2083000;Carnes e miudezas,de primatas,frescos/ refrig/congel;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2084000;Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas ,frescos/ refrig/ congel;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2085000;Carnes e miudezas,de répteis(incluidas as serpentes e as tartarugas marinhas), frescos/ refrig/congel;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2086000;Carnes e miudezas,de camelos e outros camelídeos, frescos/ refrig/congel;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2089000;Carnes e miudezas,de outs.animais,frescos/ refrig/congel;4.20;15.29;12.00;0.00;01/02/2021;30/04/2021
2091011;Toucinho de porco sem partes magras, fresco/ refrigerado/ congelado;4.20;11.86;12.00;0.00;01/02/2021;30/04/2021
2091019;Toucinho sem partes magras,salgado/ salmoura/ seco/defum.;4.20;11.86;4.50;0.00;01/02/2021;30/04/2021
2091021;Gordura de porco,fresca,refrigerada ou congelada;4.20;11.86;12.00;0.00;01/02/2021;30/04/2021
2091029;Gordura de porco,n/fundida,salgada,em salmoura,seca,etc;4.20;11.86;4.50;0.00;01/02/2021;30/04/2021
2099000;Gordura de aves,n/fundida,fresca, refrigerada,congel.etc;4.20;11.86;12.00;0.00;01/02/2021;30/04/2021
2101100;Pernas/pas/pedacos,de suino,n/desossados, salgados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2101200;Barrigas e peitos,entremeados,de suino,salgados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2101900;Outs.carnes de suino,salgadas ou em salmoura,secas,etc.;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2102000;Carnes de bovinos,salgadas/em salmoura/ secas/defumadas;4.20;15.29;4.50;0.00;01/02/2021;30/04/2021
2109100;Carnes e miudezas,de primatas,salgados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2109100;Miudezas, farinhas e pós dessas miudezas de primatas;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2109200;Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otárias e focas, leões-marinhos e morsas,salgados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2109200;Miudezas, farinhas e pós dessas miudezas de baleias, golfinhos e botos  mamíferos da ordem dos cetáceos , de peixes-boi  manatins  e dugongos  mamíferos da ordem dos sirênios , de otárias e focas, leões-marinhos e morsas  mamíferos da subordem dos pinípedes ;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2109300;Carnes e miudezas,de répteis(incluidas as serpentes e as tartarugas marinhas), salgados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2109300;Miudezas, farinhas e pós dessas miudezas de répteis  incluindo as serpentes e as tartarugas marinhas ;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
2109911;De galos e de galinhas;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
2109919;Outras;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
2109920;Carnes da espécie ovina;4.20;6.20;4.50;0.00;01/02/2021;30/04/2021
2109930;Carnes da espécie cavalar;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
2109940;Miudezas comestíveis;4.20;6.20;4.50;0.00;01/02/2021;30/04/2021
2109990;Outras;4.20;6.20;4.50;0.00;01/02/2021;30/04/2021
2109990;Farinhas e pós das miudezas do código 0210.99.40;4.20;6.20;4.50;0.00;01/02/2021;30/04/2021
3011110;Aruanã (peixe ornamental);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3011190;Outros peixes ornamentais, vivos,  de água doce;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3011900;Outros peixes ornamentais vivos;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019110;Trutas (salmo trutta e oncorhynchus),para reproducao;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019190;Outros trutas (salmo trutta e oncorhynchus),vivas;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019210;Enguias (anguilla spp.) para reproducao;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019290;Outros enguias (anguilla spp.) vivas;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019310;Carpas para reproducao;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019390;Outros carpas vivas;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019410;Atuns-azuis (thunnus thynnus, thunnus orientalis) para reprodução;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019490;Outros atuns-azuis (thunnus thynnus, thunnus orientalis);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019510;Atuns-do-sul (thunnus maccoyii) para reprodução;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019590;Outros  atuns-do-sul (thunnus maccoyii);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019911;Tilapias,peixes para reproducao;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019912;Esturjões,peixes para reproducao;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019919;Outros peixes vivos para reprodução;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3019991;Tilapias,peixes vivos;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019992;Esturjões,peixes vivos;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3019999;Outros peixes vivos;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3021100;Trutas frescas,refrig.exc.files,outs. carnes, figados,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3021300;Salmoes-do-pacifico, frescos,refrig. exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3021400;Salmoes-do-atlantico, frescos,refrig. exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3021900;Outros salmonideos frescos,refrig.exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3022100;Linguados-gigantes,frescos,refrig.exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3022200;Solhas ou patrucas,frescas,refrig.exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3022300;Linguados frescos,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3022400;Pregado (psetta maxima),frescos,refrig.exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3022900;Outros peixes chatos,frescos,refrig.exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023100;Atuns-brancos ou germoes,frescos/refriger. exc.files,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023200;Albacoras/atuns barbat.amarela,frescas/ refrig. exc.files;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023300;Bonitos-listrados,etc.frescos,refrig.exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023400;Albacoras-bandolim (patutos) thunnus thinnus;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023500;Atuns azuis (thunnus thinnus (…);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023600;Atuns do sul thunnus maccoyii;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3023900;Outs.atuns frescos,refrig.exc.files, outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024100;Arenques frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024210;Anchoitas frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024290;Outras anchovas frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024300;Sardinhas frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024400;Cavalinhas frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024500;Chicharros frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024600;Bijupirás frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024700;Espadartes frescos/refrigerados,exc. files,outs.carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024910;Espadins, marlins, veleiros (Istiophoridae);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3024990;Outros;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3025100;Bacalhau do atlantico (...), bacalhau da groelandia (…) e bacalhau do pacífico (...), frescos/refrigerados, exc.files,etc.;4.20;6.20;7.00;0.00;01/02/2021;30/04/2021
3025200;Bacalhau haddoch ou lubina, frescos/refrigerados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3025300;Bacalhau saithe frescos/refrigerados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3025400;Merluzas e abróteas, frescos/refrigerados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3025500;Merluza do alasca, frescos/refrigerados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3025600;Verdinhos (…), frescos/refrigerados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3025900;Outros peixes das fam. bregmacerotidae, gadidae, etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3027100;Tilápias frescas,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3027210;Bagres (...),frescas,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3027290;Outros bagres, frescas,refrig.exc.files, outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3027300;Carpas,frescas,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3027400;Enguias, frescas,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3027900;Outros,frescas,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028100;Esqualos frescos,refrig.exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028200;Raias, frescos,refrig.exc.files, outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028310;Merluzas-negras (dissostichus eleginoides);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028320;Merluzas antárticas (dissostichus mawsoni);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028400;Robalos, frescos,refrig.exc.files, outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028500;Pargos ou sargos, frescos,refrig.exc.files, outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028910;Pargo (Lutjanus purpureus);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028921;Cherne-poveiro (polyprion americanus), frescos ou refrigerados;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028922;Garoupas (acanthistius spp);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028923;Esturjões (ascipenser baeri);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028924;Peixes-rei (atherindae spp);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028931;Curimatas (prochilodus spp.), fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028932;Tilapias, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028933;Surubins (pseudoplatystoma spp.), fres. ou refrig.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028934;Traíras (hoplias malabaricus & h. cf. lacerdae);4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028935;Piaus (leporinus spp.), fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028936;Tainhas, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028937;Pirarucu (arapaima gigas), fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028938;Pescadas, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028941;Piramutabas, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028942;Douradas, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028943;Pacus, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028944;Tambaquis, fresco ou refrigerado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028945;Tambacu fresco ou resfriado;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3028990;Outs.peixes frescos,refrig.exc.files, outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3029100;Fígados, ovas e gônadas masculinas;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3029200;Barbatanas de tubarão;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3029900;Outros;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3031100;Salmoesvermelhos,congelados,exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3031200;Oiutros salmoes do pacífico ,congelados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3031300;Salmoes-do-atlantico e danubio,congelados, exc.files,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3031400;Trutas (salmo trutta,etc.) congeladas, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3031900;Outs.salmonideos congelados,exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3032300;Tilapias;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3032410;Bagres congelados,exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3032490;Outros bagres congelados,exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3032500;Carpas congelados,exc.files,outs. carnes,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3032600;Enguias congeladas,exc.files,outs.carnes, figados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3032900;Outros tilapias, bagres, perca-do-nilo (...), congeladas,exc.files,outs.carnes, figados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3033100;Linguados-gigantes congelados,exc.files. outs. carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3033200;Solhas ou patrucas,congeladas,exc.files, outs. carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3033300;Linguados congelados,exc.files,outs.carnes, figados,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3033400;Pregados,congelados,exc.files, outs. carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3033900;Outs.peixes chatos,congelados,exc.files, outs. carnes,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3034100;Albacoras brancas,congelados, exc. files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3034200;Albacoras/laje,congeladas, exc.files,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3034300;Bonitos-listrados,etc.congelados, exc.files,etc.;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3034400;Albacoras-bandolin (patudos) congelados, exc.files, outs. carnes,figados,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3034500;Atuns-azuis (...), congelados,exc.files, outs.carnes, figados,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
3034600;Atuns do sul congelados,exc.files, outs. carnes,figados,etc;4.20;15.29;7.00;0.00;01/02/2021;30/04/2021
